北京	北京市
麒麟	麒麟区
哈尔滨	哈尔滨市
榆次	榆次区
禄劝	禄劝县
庐山	庐山区
天门	天门市
芷江	芷江侗族自治县
东兴	东兴区
金平苗族瑶族傣族自治县	金平县
泰安	泰安市
永胜	永胜县
尖草坪	尖草坪区
威信	威信县
汨罗	汨罗市
南海	南海区
平定	平定县
广安	广安区
师宗	师宗县
临翔	临翔区
萧县	萧县
西陵	西陵区
山南	山南地区
昌江	昌江黎族自治县
麻栗坡	麻栗坡县
东城	东城区
郑州	郑州市
桐乡	桐乡市
营山	营山县
易县	易县
仁寿	仁寿县
白沙	白沙黎族自治县
石河子	石河子市
长岛	长岛县
安顺	安顺市
香港	香港
余杭	余杭区
吉林	吉林市
象州	象州县
黔东南	黔东南苗族侗族自治州
尼勒克	尼勒克县
武定	武定县
伊通	伊通满族自治县
梅州	梅州市
广灵	广灵县
金寨	金寨县
怀仁	怀仁县
洪湖	洪湖市
汉中	汉中市
芗城	芗城区
定州	定州市
咸安	咸安区
安庆	安庆市
昌吉	昌吉市
山海关	山海关区
宝兴	宝兴县
滨州	滨州市
华龙	华龙区
琼山	琼山区
涉县	涉县
开平	开平区
洞头	洞头县
墨玉	墨玉县
福州	福州市
连云港	连云港市
志丹	志丹县
萝北	萝北县
库伦	库伦旗
和平	和平县
赤城	赤城县
西峡	西峡县
曲松	曲松县
爱辉	爱辉区
九原	九原区
元谋	元谋县
铜梁	铜梁县
石屏	石屏县
南京	南京市
吴忠	吴忠市
巴南	巴南区
蒙自	蒙自县
文昌	文昌市
南昌	南昌市
振兴	振兴区
武陵	武陵区
普兰	普兰县
江州	江州区
大连	大连市
水磨沟	水磨沟区
温岭	温岭市
凤庆	凤庆县
霍城	霍城县
禄丰	禄丰县
富宁	富宁县
息烽	息烽县
赤水	赤水市
离岛	离岛区
泸州	泸州市
义乌	义乌市
农安	农安县
衢州	衢州市
南江	南江县
城区	城区
建阳	建阳市
宝坻	宝坻区
兴化	兴化市
黎川	黎川县
马边	马边彝族自治县
镇雄	镇雄县
宜宾	宜宾县
涟水	涟水县
桃城	桃城区
青阳	青阳县
红河	红河哈尼族彝族自治州
南通	南通市
果洛	果洛藏族自治州
沧浪	沧浪区
潮州	潮州市
永新	永新县
温江	温江区
淮南	淮南市
西宁	西宁市
松原	松原市
长寿	长寿区
台江	台江县
台江	台江区
达州	达州市
南川	南川区
合肥	合肥市
慈利	慈利县
定日	定日县
本溪	本溪市
十堰	十堰市
吐鲁番	吐鲁番市
永宁	永宁县
牟定	牟定县
砚山	砚山县
新兴	新兴县
拉萨	拉萨市
泸水	泸水县
合江	合江县
源城	源城区
鞍山	鞍山市
凉山	凉山州
安达	安达市
崇川	崇川区
巴林左	巴林左旗
加格达奇	加格达奇区
中宁	中宁县
博尔塔拉	博尔塔拉蒙古自治州
顺昌	顺昌县
鹤庆	鹤庆县
冀州	冀州市
太原	太原市
吉安	吉安市
天祝	天祝藏族自治县
天津	天津市
锡盟	锡林郭勒盟
彭水	彭水苗族土家族自治县
江东	江东区
淮安	淮安市
石家庄	石家庄市
渭南	渭南市
景宁	景宁畲族自治县
阜阳	阜阳市
漳州	漳州市
润州	润州区
江汉	江汉区
兴安	兴安县
内江	内江市
绵阳	绵阳市
新邵	新邵县
鄂州	鄂州市
渝中	渝中区
黑水	黑水县
新乡	新乡市
海北	海北藏族自治州
佛坪	佛坪县
晋源	晋源区
海拉尔	海拉尔区
建水	建水县
青河	青河县
抚顺	抚顺县
南丰	南丰县
卓尼	卓尼县
富源	富源县
云南	云南省
乳源	乳源瑶族自治县
江都	江都市
河南	河南省
台州	台州市
屯昌	屯昌县
靖西	靖西县
铁东	铁东区
夏河	夏河县
武江	武江区
华县	华县
柳州	柳州市
仁和	仁和区
井陉	井陉县
武都	武都区
静安	静安区
新都	新都区
泗洪	泗洪县
青神	青神县
嘉峪关	嘉峪关市
平泉	平泉县
屏南	屏南县
川汇	川汇区
潮阳	潮阳区
兴城	兴城市
榕城	榕城区
运城	运城市
澳门	澳门特别行政区
富阳	富阳市
通辽	通辽市
河西	河西区
铜仁	铜仁地区
铜川	铜川市
济源	济源市
连云	连云区
监利	监利县
临江	临江市
保山	保山市
达县	达县
徐闻	徐闻县
龙文	龙文区
怀化	怀化市
南丹	南丹县
凌河	凌河区
铁岭	铁岭市
黔西	黔西县
红塔	红塔区
满城	满城县
株洲	株洲县
抚宁	抚宁县
乐平	乐平市
格尔木	格尔木市
桥东	桥东区
克孜勒苏柯尔克孜	克孜勒苏柯尔克孜自治州
兴县	兴县
龙南	龙南县
吉木乃	吉木乃县
新晃	新晃侗族自治县
涿鹿	涿鹿县
永春	永春县
秦都	秦都区
墨江	墨江县
洛浦	洛浦县
长治	长治市
涧西	涧西区
常熟	常熟市
南宁	南宁市
秀英	秀英区
泉州	泉州市
呼伦贝尔	呼伦贝尔市
南汇	南汇区
沙河	沙河市
红河	红河县
雁塔	雁塔区
东宝	东宝区
阿勒泰	阿勒泰地区
固原	固原市
日喀则	日喀则市
阿盟	阿拉善盟
巧家	巧家县
长沙	长沙市
瓮安	瓮安县
番禺	番禺区
平江	平江县
东丽	东丽区
科右中旗	科尔沁右翼中旗
孝感	孝感市
西藏	西藏自治区
井冈山	井冈山市
云县	云县
贺兰	贺兰县
东营	东营市
榆阳	榆阳区
大同	大同县
安化	安化县
宿松	宿松县
镇赉	镇赉县
怒江	怒江傈僳族自治州
台湾	台湾省
直布罗陀	直布罗陀
卢森堡	卢森堡
马耳他	马耳他
塞舌尔	塞舌尔
新加坡	新加坡
波多	波多
Channel_Islands	Channel_Islands
England	England
安圭拉	安圭拉
巴哈	巴哈
巴林	巴林
巴斯	巴斯
多巴哥	多巴哥
梵蒂冈	梵蒂冈
根西岛	根西岛
科威特	科威特
利兹	利兹
马尔代夫	马尔代夫
马绍尔	马绍尔
毛里求斯	毛里求斯
摩纳哥	摩纳哥
墨西哥	墨西哥
诺福克岛	诺福克岛
萨尔瓦多	萨尔瓦多
圣马力诺	圣马力诺
台北	台北市
台南	台南市
台中	台中市
突尼斯	突尼斯
瓦努阿图	瓦努阿图
维多利亚	维多利亚
文莱	文莱
新竹	新竹市
泽西	泽西
